Date,Open,High,Low,Close,AdjustedClose,Volume
2026-01-22,249.2000,251.0000,248.1800,248.3500,248.3500,36743336
2026-01-23,247.3200,249.4100,244.6800,248.0400,248.0400,40981809
2026-01-24,248.0400,248.0400,248.0400,248.0400,248.0400,0
2026-01-25,248.0400,248.0400,248.0400,248.0400,248.0400,0
2026-01-26,251.4800,256.5600,249.8000,255.4100,255.4100,55969200
2026-01-27,259.1700,261.9500,258.2100,258.2700,258.2700,49648300
2026-01-28,257.6500,258.8600,254.5100,256.4400,256.4400,41288000
2026-01-29,258.0000,259.6500,254.4100,258.2800,258.2800,67253000
2026-01-30,255.1700,261.9000,252.1800,259.4800,259.4800,92352600
2026-02-02,260.0300,270.4900,259.2100,270.0100,269.7576,73913400
2026-02-03,269.2000,271.8800,267.6100,269.4800,269.2281,64394700
2026-02-04,272.2900,278.9500,272.2900,276.4900,276.2315,90545700
2026-02-05,278.1300,279.5000,273.2300,275.9100,275.6521,52977400
2026-02-06,277.1200,280.9100,276.9300,278.1200,277.8600,50453400
2026-02-09,277.9100,278.2000,271.7000,274.6200,274.6200,44623400
2026-02-10,274.8900,275.3700,272.9400,273.6800,273.6800,34376900
2026-02-11,274.7000,280.1800,274.4500,275.5000,275.5000,51931300
2026-02-12,275.5900,275.7200,260.1800,261.7300,261.7300,81077200
2026-02-13,262.0100,262.2300,255.4500,255.7800,255.7800,56290700
2026-02-16,248.0400,248.0400,248.0400,248.0400,248.0400,0
2026-02-17,258.0500,266.2900,255.5400,263.8800,263.8800,58469100
2026-02-18,263.6000,266.8200,262.4500,264.3500,264.3500,34203300
2026-02-19,262.6000,264.4800,260.0500,260.5800,260.5800,30845300
2026-02-20,258.9700,264.7500,258.1600,264.5800,264.5800,42070500
2026-02-23,263.4900,269.4300,263.3800,266.1800,266.1800,37308200
2026-02-24,267.8600,274.8900,267.7100,272.1400,272.1400,47014600
2026-02-25,271.7800,274.9400,271.0500,274.2300,274.2300,33714300
2026-02-26,274.9500,276.1100,270.8000,272.9500,272.9500,32345100
2026-02-27,272.8100,272.8100,262.8900,264.1800,264.1800,72366500
2026-03-02,262.4100,266.5300,260.2000,264.7200,264.7200,41827900
2026-03-03,263.4800,265.5600,260.1300,263.7500,263.7500,38568900
2026-03-04,264.6500,266.1500,261.4200,262.5200,262.5200,39803100
2026-03-05,260.7900,261.5600,257.2500,260.2900,260.2900,49658600
2026-03-06,258.6300,258.7700,254.3700,257.4600,257.4600,41120000
2026-03-09,255.6900,261.1500,253.6800,259.8800,259.8800,38218500
2026-03-10,257.6950,262.4800,256.9500,260.8300,260.8300,26403306
2026-04-03,248.0400,248.0400,248.0400,248.0400,248.0400,0
2026-04-06,256.5100,262.1600,256.4600,258.8600,,29329900
2026-04-07,256.1550,256.1900,245.7000,253.5000,,60820961
2026-05-25,248.0400,248.0400,248.0400,248.0400,248.0400,0
2026-06-19,248.0400,248.0400,248.0400,248.0400,248.0400,0
2026-09-07,248.0400,248.0400,248.0400,248.0400,248.0400,0
2026-11-26,248.0400,248.0400,248.0400,248.0400,248.0400,0
2026-12-25,248.0400,248.0400,248.0400,248.0400,248.0400,0
